Datasett hentet fra;https://hnygard.github.io/norsk-lovtidend/;@hallny / Norske-postlister.no;Kilde;https://lovdata.no/register/lovtidend;Data hentet;11.02.2020 20:54:07

kunngjort;dato;korttittel;url;title;departement;ikrafttredelse;endrer;journalnr;gjelder for;hjemmel;rettet;
10.01.2020   kl. 13.45;FOR-2019-12-12-2169;Forskrift om samtykke til innsamling av husholdningsavfall, Trondheim;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2169;Forskrift om samtykke til innsamling av husholdningsavfall, Trondheim kommune, Trøndelag;;10.01.2020;FOR-2019-12-12-2102;2020-0037;Trondheim kommune, Trøndelag;LOV-1981-03-13-6-§30;;
10.01.2020   kl. 13.45;FOR-2019-12-11-2168;Forskrift om kommunale gebyrer og priser 2019, Nord-Odal;https://lovdata.no/dokument/LTII/forskrift/2019-12-11-2168;Forskrift om kommunale gebyrer og priser 2019, Nord-Odal kommune, Innlandet;;01.01.2020;FOR-2018-12-12-2238;2020-0035;Nord-Odal kommune, Innlandet;LOV-1981-03-13-6-§34, FOR-2004-06-01-931-§11-4, LOV-2008-06-27-71-§33-1, LOV-2002-06-14-20-§28, FOR-2002-06-26-922-§9-2, FOR-2011-11-23-1165, LOV-2017-06-16-65-§15, LOV-2005-06-17-101-§32, FOR-2009-06-26-864-§16, FOR-2009-06-26-864-§17, FOR-2011-12-14-1336, FOR-1999-02-15-357-§5-7, LOV-1963-06-21-23-§32, LOV-1963-06-21-23-§57;;
09.01.2020   kl. 15.40;FOR-2020-01-03-9;Endr. i forskrift om politivedtekt, Vestby Akershus;https://lovdata.no/dokument/LTII/forskrift/2020-01-03-9;Forskrift om endring i forskrift om politivedtekt, Vestby kommune, Akershus;;17.01.2020;FOR-2019-04-25-527;2020-0028;Vestby kommune, Viken;LOV-1995-08-04-53-§14, FOR-2000-11-16-1151;;
09.01.2020   kl. 15.40;FOR-2019-12-19-2167;Forskrift om renovasjon i RIR-kommunene, Møre og Romsdal;https://lovdata.no/dokument/LTII/forskrift/2019-12-19-2167;Forskrift om renovasjon i RIR-kommunene, Møre og Romsdal;;09.01.2020;FOR-2013-06-20-882, FOR-2012-02-28-201;2020-0025;Aukra, Gjemnes, Hustadvika, Molde og Rauma kommuner, Møre og Romsdal;LOV-1981-03-13-6-§30, LOV-1981-03-13-6-§33, LOV-1981-03-13-6-§34, LOV-1981-03-13-6-§79, LOV-1981-03-13-6-§83;05.02.2020, tilføyd forskrift som oppheves i hodet.;
09.01.2020   kl. 15.40;FOR-2019-12-17-2166;Forskrift om unntak fra tidsfrister i oppmålingssaker, Lillestrøm;https://lovdata.no/dokument/LTII/forskrift/2019-12-17-2166;Forskrift om unntak fra tidsfrister i saker som krever oppmålingsforretning, Lillestrøm kommune, Viken;;09.01.2020;FOR-2010-02-15-655, FOR-2010-11-03-1438, FOR-2010-06-16-1913;2020-0026;Lillestrøm kommune, Viken;FOR-2009-06-26-864-§18, LOV-2005-06-17-101;;
09.01.2020   kl. 15.40;FOR-2019-12-12-2165;Forskrift om folkevalde sine rettar til godtgjersle og velferdsgode, Ålesund;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2165;Forskrift om folkevalde sine rettar til godtgjersle og velferdsgode, Ålesund kommune, Møre og Romsdal;;09.01.2020;;2020-0027;Ålesund kommune, Møre og Romsdal;LOV-2018-06-22-83-§8-3, LOV-2018-06-22-83-§8-4, LOV-2018-06-22-83-§8-6, LOV-2018-06-22-83-§8-10;;
09.01.2020   kl. 15.40;FOR-2019-12-12-2164;Forskrift om påslepp av feitthaldig avløpsvatn til offentlig avløpsnett, Ålesund;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2164;Forskrift om påslepp av feitthaldig avløpsvatn til offentlig avløpsnett, Ålesund kommune, Møre og Romsdal;;01.01.2020;FOR-2018-09-27-1551;2019-0952;Ålesund kommune, Møre og Romsdal;FOR-2004-06-01-931-§15a-4, LOV-1981-03-13-6;;
09.01.2020   kl. 15.40;FOR-2019-12-12-2163;Forskrift om nedgravne oljetankar, Ålesund;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2163;Forskrift om nedgravne oljetankar, Ålesund kommune, Møre og Romsdal;;01.01.2020;FOR-2008-09-18-1679;2019-0951;Ålesund kommune, Møre og Romsdal;FOR-2004-06-01-931, LOV-1981-03-13-6-§9;;
09.01.2020   kl. 15.40;FOR-2019-12-12-2162;Forskrift om gebyr for saksbehandling etter forureiningsregelverket, Ålesund;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2162;Forskrift om gebyr for saksbehandling, kontroll og tilsyn etter forureiningsregelverket, Ålesund kommune, Møre og Romsdal;;01.01.2020;FOR-2016-11-24-1916;2019-0950;Ålesund kommune, Møre og Romsdal;FOR-2004-06-01-931-§2-12, FOR-2004-06-01-931-§11-4, FOR-2018-06-28-1060-§11, LOV-1981-03-13-6-§52a;;
09.01.2020   kl. 15.40;FOR-2019-12-11-2161;Forskrift for inntak og formidling til læreplass, Trøndelag;https://lovdata.no/dokument/LTII/forskrift/2019-12-11-2161;Forskrift for inntak til videregående skole og formidling til læreplass, Trøndelag;;01.01.2020;FOR-2017-06-15-865;2020-0024;Trøndelag;FOR-2006-06-23-724-§6-2, FOR-2006-06-23-724-§6a-2, LOV-1998-07-17-61;;
09.01.2020   kl. 15.40;FOR-2019-11-27-2160;Forskrift om gebyr for oppfølging av handel med pyroteknisk vare, Vestvågøy;https://lovdata.no/dokument/LTII/forskrift/2019-11-27-2160;Forskrift om gebyr for oppfølging av handel med pyroteknisk vare, Vestvågøy kommune, Nordland;;27.11.2019;;2020-0029;Vestvågøy kommune, Nordland;LOV-2002-06-14-20-§28, FOR-2002-06-26-922-§9-2;13.01.2020, vedtaksdato;
09.01.2020   kl. 15.40;FOR-2019-11-22-2160;Forskrift om gebyr for oppfølging av handel med pyroteknisk vare, Vestvågøy;https://lovdata.no/dokument/LTII/forskrift/2019-11-22-2160;Forskrift om gebyr for oppfølging av handel med pyroteknisk vare, Vestvågøy kommune, Nordland;;22.11.2019;;2020-0029;Vestvågøy kommune, Nordland;LOV-2002-06-14-20-§28, FOR-2002-06-26-922-§9-2;;
08.01.2020   kl. 15.45;FOR-2019-12-18-2157;Forskrift om åpningstider for serveringssteder, Indre Østfold;https://lovdata.no/dokument/LTII/forskrift/2019-12-18-2157;Forskrift om åpningstider for serveringssteder, Indre Østfold kommune, Viken;;01.01.2020;FOR-2008-11-27-1299, FOR-2008-12-11-1386;2020-0021;Indre Østfold kommune, Viken;LOV-1997-06-13-55-§15;;
08.01.2020   kl. 15.45;FOR-2019-12-18-2156;Forskrift om åpnings-, luknings- og salgstider for salgssteder med salgsbevilling, Indre Østfold;https://lovdata.no/dokument/LTII/forskrift/2019-12-18-2156;Forskrift om åpnings-, luknings- og salgstider for salgssteder med salgsbevilling, Indre Østfold kommune, Viken;;01.01.2020;FOR-2008-10-07-1648;2020-0018;Indre Østfold kommune, Viken;LOV-1989-06-02-27-§3-7;;
08.01.2020   kl. 15.45;FOR-2019-12-12-2155;Forskrift om folkevalgtes arbeidsvilkår og godtgjøring, Hitra;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2155;Forskrift om folkevalgtes arbeidsvilkår og godtgjøring, Hitra kommune, Trøndelag;;10.10.2019;;2020-0022;Hitra kommune, Trøndelag;LOV-2018-06-22-83-§8-1, LOV-2018-06-22-83-§8-2, LOV-2018-06-22-83-§8-3, LOV-2018-06-22-83-§8-4, LOV-2018-06-22-83-§8-5, LOV-2018-06-22-83-§8-6, LOV-2018-06-22-83-§8-7, LOV-2018-06-22-83-§8-8, LOV-2018-06-22-83-§8-9, LOV-2018-06-22-83-§8-10;;
08.01.2020   kl. 15.45;FOR-2019-12-05-2154;Forskrift om betalingsregulativ for plan- og byggesaker mv. 2020, Bodø;https://lovdata.no/dokument/LTII/forskrift/2019-12-05-2154;Forskrift om betalingsregulativ for plan-, bygge-, fradelings-, oppmålings- og eierseksjoneringssaker 2020, Bodø kommune, Nordland;;01.02.2020;FOR-2016-12-08-1691;2020-0008;Bodø kommune, Nordland;LOV-2008-06-27-71-§33-1, LOV-2005-06-17-101-§32, FOR-2009-06-26-864-§16, LOV-2017-06-16-65-§15;;
08.01.2020   kl. 15.45;FOR-2019-11-12-2153;Forskrift om rett til langtidsopphold i sykehjem e.l., Asker;https://lovdata.no/dokument/LTII/forskrift/2019-11-12-2153;Forskrift om rett til langtidsopphold i sykehjem eller tilsvarende bolig særskilt tilrettelagt for heldøgns tjenester, Asker kommune, Viken;;01.01.2020;FOR-2017-06-13-925, FOR-2017-06-15-1112;2020-0015;Asker kommune, Viken;LOV-2011-06-24-30-§3-2a;;
08.01.2020   kl. 15.45;FOR-2019-05-23-2152;Forskrift om inntak til vidaregåande opplæring og formidling til læreplass i Vestland fylkeskommune;https://lovdata.no/dokument/LTII/forskrift/2019-05-23-2152;Forskrift om inntak til vidaregåande opplæring og formidling til læreplass i Vestland fylkeskommune;;01.01.2020;FOR-2015-12-08-1919, FOR-2014-10-14-1328;2020-0023;Vestland;FOR-2006-06-23-724-§6-2, FOR-2006-06-23-724-§6a-2, LOV-1998-07-17-61;;
07.01.2020   kl. 15.55;FOR-2019-12-19-2132;Forskrift om godtgjersle til folkevalde i Austevoll;https://lovdata.no/dokument/LTII/forskrift/2019-12-19-2132;Forskrift om godtgjersle til folkevalde i Austevoll kommune for kommunevalperioden 2019–2023, Vestland;;Valperioden 2019–2023;;2020-0016;Austevoll kommune, Hordaland;LOV-2018-06-22-83-§8-1, LOV-2018-06-22-83-§8-2, LOV-2018-06-22-83-§8-3, LOV-2018-06-22-83-§9-4, LOV-2018-06-22-83-§8-5, LOV-2018-06-22-83-§8-6, LOV-2018-06-22-83-§8-7, LOV-2018-06-22-83-§8-8, LOV-2018-06-22-83-§8-9, LOV-2018-06-22-83-§8-10;;
07.01.2020   kl. 15.55;FOR-2019-12-19-2131;Forskrift om farvannsavgift for Sandefjord kommunes sjøområder 2020;https://lovdata.no/dokument/LTII/forskrift/2019-12-19-2131;Forskrift om farvannsavgift for Sandefjord kommunes sjøområder 2020, Vestfold og Telemark;;01.01.2020;FOR-2018-12-19-2263;2020-0011;Sandefjord kommune, Vestfold og Telemark;LOV-2019-06-21-70-§36;;
07.01.2020   kl. 15.55;FOR-2019-12-13-2130;Forskrift om gebyrregulativ for tekniske tjenester 2020, Modum;https://lovdata.no/dokument/LTII/forskrift/2019-12-13-2130;Forskrift om gebyrregulativ for tekniske tjenester 2019, Modum kommune, Viken;;01.01.2020;FOR-2018-12-07-1986;2020-0007;Modum kommune, Viken;LOV-2005-06-17-101, LOV-2017-06-16-65, LOV-2008-06-27-71, LOV-1981-03-13-6-§26, LOV-1981-03-13-6-§34, LOV-2012-03-16-12, LOV-2002-06-14-20, FOR-2015-12-17-1710, FOR-1967-02-10-§27a, LOV-1995-05-12-23;;
07.01.2020   kl. 15.55;FOR-2019-12-12-2129;Forskrift om tildeling av langtidsopphold i sykehjem e.l., Hustadvika;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2129;Forskrift om tildeling av langtidsopphold i sykehjem eller tilsvarende bolig særskilt tilrettelagt for heldøgns tjenester, vurderingsmomenter og vurderingslister, Hustadvika kommune, Møre og Romsdal;;01.01.2020;FOR-2017-09-28-1839;2020-0014;Hustadvika kommune, Møre og Romsdal;LOV-2011-06-24-30-§3-2;;
07.01.2020   kl. 15.55;FOR-2019-12-12-2128;Forskrift om gebyrregulativ for avfallsgebyrer – husholdningsavfall, Oppdal;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2128;Forskrift om gebyrregulativ for avfallsgebyrer – husholdningsavfall, Oppdal kommune, Trøndelag;;01.01.2020;FOR-2018-12-17-2103;2020-0013;Oppdal kommune, Trøndelag;LOV-1981-03-13-6-§34;;
07.01.2020   kl. 15.55;FOR-2019-12-12-2127;Forskrift for gebyrregulativ, slamgebyrer, Oppdal;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2127;Forskrift for gebyrregulativ, slamgebyrer, Oppdal kommune, Trøndelag;;01.01.2020;FOR-2018-12-17-2102;2020-0010;Oppdal kommune, Trøndelag;LOV-1981-03-13-6-§34;;
07.01.2020   kl. 15.55;FOR-2019-12-12-2126;Forskrift om gebyr for saksbehandling, kontroll og tilsyn etter forureiningsregelverket, Hareid;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2126;Forskrift om gebyr for saksbehandling, kontroll og tilsyn etter forureiningsregelverket, Hareid kommune, Møre og Romsdal;;07.01.2020;;2019-0897;Hareid kommune, Møre og Romsdal;FOR-2004-06-01-931-§2-12, FOR-2004-06-01-931-§11-4, LOV-1981-03-13-6-§52a;;
07.01.2020   kl. 15.55;FOR-2019-12-12-2125;Forskrift om anløpsavgift for Hareid hamneregion;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2125;Forskrift om anløpsavgift for Hareid hamneregion, Hareid kommune, Møre og Romsdal;;01.01.2020;FOR-2009-12-17-1835;2019-0896;Hareid kommune, Møre og Romsdal;LOV-2009-04-17-19-§25;;
07.01.2020   kl. 15.55;FOR-2019-12-11-2124;Forskrift om vann- og avløpsgebyr, Åmot;https://lovdata.no/dokument/LTII/forskrift/2019-12-11-2124;Forskrift om vann- og avløpsgebyr, Åmot kommune, Innlandet;;01.01.2020;FOR-2008-04-09-403;2020-0017;Åmot kommune, Innlandet;LOV-2012-03-16-12-§3, FOR-2004-06-01-931-§16-1;;
07.01.2020   kl. 15.55;FOR-2019-11-14-2123;Forskrift for tømming av slamavskillere, Rauma;https://lovdata.no/dokument/LTII/forskrift/2019-11-14-2123;Forskrift for tømming av slamavskillere, tette tanker mv. og bestemmelser om betaling av gebyr, Rauma kommune, Møre og Romsdal;;01.01.2020;FOR-2016-10-25-1348;2020-0019;Rauma kommune, Møre og Romsdal;FOR-2004-06-01-931-§12-6, LOV-1981-03-13-6-§9, LOV-1981-03-13-6-§26, LOV-1981-03-13-6-§34;;
07.01.2020   kl. 15.55;FOR-2019-11-11-2122;Forskrift om gebyr for saksbehandling, kontroll og tilsyn etter forureiningsregelverket, Giske;https://lovdata.no/dokument/LTII/forskrift/2019-11-11-2122;Forskrift om gebyr for saksbehandling, kontroll og tilsyn etter forureiningsregelverket, Giske kommune, Møre og Romsdal;;07.01.2020;;2020-0005;Giske kommune, Møre og Romsdal;FOR-2004-06-01-931-§11-4, LOV-1981-03-13-6;;
07.01.2020   kl. 15.55;FOR-2019-10-07-2121;Endr. i forskrift om folkevalgtes godtgjøring, Salangen;https://lovdata.no/dokument/LTII/forskrift/2019-10-07-2121;Forskrift om endring i forskrift om folkevalgtes godtgjøring, Salangen kommune, Troms;;07.10.2019;FOR-2019-10-07-1392;2019-0793;Salangen kommune, Troms;LOV-2018-06-22-83-§8-3, LOV-2018-06-22-83-§8-4, LOV-2018-06-22-83-§8-5, LOV-2018-06-22-83-§8-6, LOV-2018-06-22-83-§8-7, LOV-2018-06-22-83-§8-8, LOV-2018-06-22-83-§8-9, LOV-2018-06-22-83-§8-10;;
07.01.2020   kl. 15.55;FOR-2019-10-03-2120;Forskrift om salgs- og skjenketider for alkoholholdige drikker, Skaun;https://lovdata.no/dokument/LTII/forskrift/2019-10-03-2120;Forskrift om salgs- og skjenketider for alkoholholdige drikker, Skaun kommune, Trøndelag;;03.10.2019;;2020-0009;Skaun kommune, Trøndelag;LOV-1997-06-13-55-§15, LOV-1989-06-02-27-§4-4;;
06.01.2020   kl. 15.45;FOR-2019-12-17-2107;Forskrift om vass- og avløpsgebyr, Hemsedal;https://lovdata.no/dokument/LTII/forskrift/2019-12-17-2107;Forskrift om vass- og avløpsgebyr, Hemsedal kommune, Viken;;01.01.2020;FOR-2007-12-13-1717;2020-0002;Hemsedal kommune, Viken;LOV-2012-03-16-12-§3, FOR-2004-06-01-931-§16-1;;
06.01.2020   kl. 15.45;FOR-2019-12-16-2106;Forskrift for kommunalt løypenett snøscooter, Lierne;https://lovdata.no/dokument/LTII/forskrift/2019-12-16-2106;Forskrift for kommunalt løypenett snøscooter, Lierne kommune, Trøndelag;;16.12.2019 – 31.05.2020;FOR-2019-06-11-1134;2020-0001;Lierne kommune, Trøndelag;LOV-1977-06-10-82-§4a, FOR-1988-05-15-356-§4a;;
06.01.2020   kl. 15.45;FOR-2019-12-12-2105;Endr. i forskrift om hundehald, Ål;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2105;Forskrift om endring i forskrift om hundehald, Ål kommune, Buskerud;;01.01.2020;FOR-2007-08-22-1038;2020-0004;Ål kommune, Viken;LOV-2003-07-04-74-§6, LOV-2003-07-04-74-§9, LOV-2003-07-04-74-§11;;
06.01.2020   kl. 15.45;FOR-2019-12-12-2104;Forskrift om renovasjon i Trondheim;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2104;Forskrift om renovasjon, Trondheim kommune, Trøndelag;;06.01.2020;FOR-2014-01-30-111, FOR-2017-12-14-2158;2019-0971;Trondheim kommune, Trøndelag;LOV-1981-03-13-6-§34;;
06.01.2020   kl. 15.45;FOR-2019-12-12-2103;Forskrift om avfallsgebyr, Trondheim;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2103;Forskrift om avfallsgebyr, Trondheim kommune, Trøndelag;;06.01.2020;FOR-1999-12-16-1422;2019-0970;Trondheim kommune, Trøndelag;LOV-1981-03-13-6-§34;;
06.01.2020   kl. 15.45;FOR-2019-12-12-2102;Forskrift om samtykke til innsamling av husholdningsavfall, Trondheim;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2102;Forskrift om samtykke til innsamling av husholdningsavfall, Trondheim kommune, Trøndelag;;06.01.2020;;2019-0969;Trondheim kommune, Trøndelag;LOV-1981-03-13-6-§30;;
06.01.2020   kl. 15.45;FOR-2019-12-09-2101;Forskrift om kommunalt løypenett for snøskuter, Sør-Varanger;https://lovdata.no/dokument/LTII/forskrift/2019-12-09-2101;Forskrift om kommunalt løypenett for snøskuter, Sør-Varanger kommune, Finnmark;;09.12.2019, 01.07.2020;FOR-2010-12-20-1690;2019-0953;Sør-Varanger kommune, Finnmark;LOV-1977-06-10-82-§4a, FOR-1988-05-15-356-§4a;;
06.01.2020   kl. 15.45;FOR-2019-10-24-2100;Forskrift om folkevalgtes godtgjøring og velferdsgoder, Kongsvinger;https://lovdata.no/dokument/LTII/forskrift/2019-10-24-2100;Forskrift om folkevalgtes godtgjøring og velferdsgoder, Kongsvinger kommune, Hedmark;;24.10.2019;;2020-0003;Kongsvinger kommune, Hedmark;LOV-2018-06-22-83-§8-3, LOV-2018-06-22-83-§8-4, LOV-2018-06-22-83-§8-5, LOV-2018-06-22-83-§8-6, LOV-2018-06-22-83-§8-7, LOV-2018-06-22-83-§8-8, LOV-2018-06-22-83-§8-9, LOV-2018-06-22-83-§8-10;;
02.01.2020   kl. 15.15;FOR-2019-12-17-2076;Forskrift om skuddpremie på rødrev, kråke og mink, Lurøy;https://lovdata.no/dokument/LTII/forskrift/2019-12-17-2076;Forskrift om skuddpremie på rødrev, kråke og mink, Lurøy kommune, Nordland;;01.01.2020;FOR-2016-06-29-939;2019-0962;Lurøy kommune, Nordland;LOV-1981-05-29-38-§51;;
02.01.2020   kl. 15.15;FOR-2019-12-12-2075;Forskrift om gebyrregulativ, Fedje;https://lovdata.no/dokument/LTII/forskrift/2019-12-12-2075;Forskrift om gebyr for teknisk forvaltningstjeneste (gebyrregulativ) Fedje kommune, Vestland;;01.01.2020;FOR-2017-12-12-2263.;2019-0963;Fedje kommune, Vestland;LOV-2008-06-27-71-§33-1, LOV-2005-06-17-101-§32, FOR-2009-06-26-864-§16, LOV-2017-06-16-65-§14, LOV-2017-06-16-65-§15, LOV-1981-03-13-6-§52a, FOR-2003-12-05-1909, LOV-1967-02-10-§27a, FOR-2011-12-14-1336, LOV-2009-04-17-19-§6, LOV-2009-04-17-19-§25, FOR-2010-12-20-1762;;
02.01.2020   kl. 15.15;FOR-2019-10-24-2074;Forskrift om vass- og avløpsgebyr, Stad;https://lovdata.no/dokument/LTII/forskrift/2019-10-24-2074;Forskrift om vass- og avløpsgebyr, Stad kommune, Vestland;;01.01.2020;;2019-0968;Stad kommune, Vestland;LOV-2012-03-16-12-§3, FOR-2004-06-01-931-§16-1;;
02.01.2020   kl. 15.15;FOR-2019-10-24-2073;Forskrift om feie- og tilsynsgebyr, Stad;https://lovdata.no/dokument/LTII/forskrift/2019-10-24-2073;Forskrift om feie- og tilsynsgebyr, Stad kommune, Vestland;;01.01.2020;;2019-0966;Stad kommune, Vestland;LOV-2002-06-14-20-§28, FOR-2015-12-17-1710-§17;;
02.01.2020   kl. 15.15;FOR-2019-10-24-2072;Forskrift om gebyr for sakshandsaming og kontroll/tilsyn av mindre avløpsanlegg, Stad;https://lovdata.no/dokument/LTII/forskrift/2019-10-24-2072;Forskrift om gebyr for sakshandsaming og kontroll/tilsyn av mindre avløpsanlegg, Stad kommune, Vestland;;01.01.2020;FOR-2013-10-24-1696;2019-0965;Stad kommune, Vestland;LOV-1981-03-13-6-§52a, FOR-2004-06-01-931-§11-4;;
02.01.2020   kl. 15.15;FOR-2019-10-22-2071;Forskrift om godtgjøring til folkevalgte, Smøla;https://lovdata.no/dokument/LTII/forskrift/2019-10-22-2071;Forskrift om godtgjøring til folkevalgte, Smøla kommune, Møre og Romsdal;;24.10.2019;;2019-0964;Smøla kommune, Møre og Romsdal;LOV-2018-06-22-83-§8-3, LOV-2018-06-22-83-§8-4, LOV-2018-06-22-83-§8-6, LOV-2018-06-22-83-§8-10;;
02.01.2020   kl. 15.15;FOR-2019-09-04-2070;Forskrift for folkevalgtes rettigheter og plikter, Kongsberg;https://lovdata.no/dokument/LTII/forskrift/2019-09-04-2070;Forskrift for folkevalgtes rettigheter og plikter, Kongsberg kommune, Viken;;04.09.2019;;2019-0961;Kongsberg kommune, Viken;LOV-2018-06-22-83-§8-4;;
11.02.2020   kl. 15.05;FOR-2020-02-10-123;Endr. i forskrift om kosmetikk og kroppspleieprodukter;https://lovdata.no/dokument/LTI/forskrift/2020-02-10-123;Forskrift om endring i forskrift om kosmetikk og kroppspleieprodukter;Helse- og omsorgsdepartementet;10.02.2020;FOR-2013-04-08-391;2020-0134;Norge;LOV-2005-12-21-126-§8, FOR-2005-12-29-1770;;
11.02.2020   kl. 15.05;FOR-2020-02-10-122;Endr. i forskrift om myndighet til kommunene etter forurensningsloven;https://lovdata.no/dokument/LTI/forskrift/2020-02-10-122;Forskrift om endring i forskrift om myndighet til kommunene etter forurensningsloven;Klima- og miljødepartementet;10.02.2020;FOR-2019-09-30-1289;2020-0133;Norge;LOV-1981-03-13-6-§81, FOR-1983-07-08-1245;;
11.02.2020   kl. 15.05;FOR-2020-02-07-121;Endr. i forskrift om regulering av svine- og fjørfeproduksjonen;https://lovdata.no/dokument/LTI/forskrift/2020-02-07-121;Forskrift om endring i forskrift 11. april 2003 nr. 461 om regulering av svine- og fjørfeproduksjonen;Landbruks- og matdepartementet;07.02.2020;FOR-2003-04-11-461;2020-0136;Norge;LOV-2004-01-16-5-§2;;
11.02.2020   kl. 15.05;FOR-2020-02-07-120;Endr. i Biocidforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-02-07-120;Forskrift om endring i forskrift om biocider (Biocidforskriften);Klima- og miljødepartementet, Arbeids- og sosialdepartementet;07.02.2020;FOR-2017-04-18-480;2020-0135;Norge;LOV-1976-06-11-79-§4, LOV-1976-06-11-79-§8a, FOR-1977-08-05-2, LOV-1990-09-07-730, LOV-2005-06-17-62-§4-5, LOV-2005-06-17-62-§5-4;;
11.02.2020   kl. 15.05;FOR-2020-02-04-119;Endr. i prioriteringsforskriften og forskrift om ledelse og kvalitetsforbedring i helse- og omsorgstjenesten;https://lovdata.no/dokument/LTI/forskrift/2020-02-04-119;Forskrift om endring i forskrift om prioritering av helsetjenester, rett til nødvendig helsehjelp fra spesialisthelsetjenesten, rett til behandling i utlandet og om klagenemnd (prioriteringsforskriften) og forskrift om ledelse og kvalitetsforbedring i helse- og omsorgstjenesten;Helse- og omsorgsdepartementet;01.03.2020;FOR-2000-12-01-1208, FOR-2016-10-28-1250;2020-0137;Norge;LOV-1999-07-02-63-§2-1b, FOR-2000-12-01-1208-§14, LOV-2017-12-15-107-§5;;
11.02.2020   kl. 15.05;FOR-2019-12-17-2233;Endr. i forskrift om opptak til studier ved HiØ;https://lovdata.no/dokument/LTI/forskrift/2019-12-17-2233;Forskrift om endring i forskrift om opptak til studier ved Høgskolen i Østfold;Kunnskapsdepartementet;17.12.2019;FOR-2019-12-17-2021;2020-0132;Norge;LOV-2005-04-01-15-§3-6, LOV-2005-04-01-15-§3-7, LOV-2005-04-01-15-§4-9, FOR-2017-01-06-13-§1-1, FOR-2005-12-01-1392-§2;;
11.02.2020   kl. 15.05;FOR-2019-12-17-2232;Forskrift om fagskoleutdanning ved Bårdar Akademiet;https://lovdata.no/dokument/LTI/forskrift/2019-12-17-2232;Forskrift om høyere yrkesfaglig utdanning (fagskoleutdanning) ved Bårdar Akademiet;Kunnskapsdepartementet;20.01.2020;FOR-2018-12-05-2311;2020-0127;Norge;LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§21;;
10.02.2020   kl. 14.30;FOR-2020-02-10-117;Forskrift om midlertidig unntak fra påbudet om bruk av sorteringsrist i fisket etter reker;https://lovdata.no/dokument/LTI/forskrift/2020-02-10-117;Forskrift om midlertidig unntak fra påbudet om bruk av sorteringsrist i fisket etter reker;Nærings- og fiskeridepartementet;10.02.2020 – 24.02.2020;;2020-0131;Norge;FOR-2012-11-26-1104-§2, LOV-2008-06-06-37-§16;;
10.02.2020   kl. 14.30;FOR-2020-02-10-116;Deleg. av Justis- og beredskapsdepartementets myndighet til å utøve statens partsstilling etter tvisteloven § 2-5 ved fremming av politiets sivile krav under straffesak;https://lovdata.no/dokument/LTI/forskrift/2020-02-10-116;Delegering av Justis- og beredskapsdepartementets myndighet til å utøve statens partsstilling etter tvisteloven § 2-5 ved fremming av politiets sivile krav under straffesak;Justis- og beredskapsdepartementet;10.02.2020;;2020-0130;Norge;LOV-2005-06-17-90-§2-5;;
10.02.2020   kl. 14.30;FOR-2020-02-07-115;Endr. i forskrift om kapasitetsjusteringer for tillatelser til akvakultur med matfisk i sjø i 2020;https://lovdata.no/dokument/LTI/forskrift/2020-02-07-115;Forskrift om endring i forskrift om kapasitetsjusteringer for tillatelser til akvakultur med matfisk i sjø av laks, ørret og regnbueørret i 2020;Nærings- og fiskeridepartementet;07.02.2020;FOR-2020-02-04-105;2020-0129;Norge;LOV-2005-06-17-79-§5, LOV-2005-06-17-79-§6, LOV-2005-06-17-79-§7, LOV-2005-06-17-79-§9, LOV-2005-06-17-79-§10, LOV-2005-06-17-79-§18, LOV-2005-06-17-79-§26, LOV-2005-06-17-79-§33a, FOR-2017-01-16-61-§11, FOR-2017-01-16-61-§12;;
